Diet Plan Name,Meal Type,Calories,Protein (g),Carbs (g),Fat (g),Suitable For
Beef Stir Fry,Lunch,442,36.7,60.7,25.8,Vegan
Greek Yogurt Parfait,Snack,434,29.7,59.5,28.4,Vegan
Tofu Stir Fry,Lunch,335,16.5,53.5,17.8,Weight Loss
Keto Bacon Omelette,Lunch,473,11.8,66.5,7.2,Keto
Quinoa Salad,Lunch,569,19.2,39.0,13.6,Balanced Diet
Pasta Primavera,Lunch,576,39.9,33.8,7.8,Low Carb
Stuffed Bell Peppers,Breakfast,564,25.4,67.3,13.9,High Protein
Egg White Omelette,Lunch,417,32.2,44.3,16.9,Keto
Greek Yogurt Parfait,Snack,670,25.1,25.6,21.3,High Protein
Chickpea Curry,Breakfast,685,12.1,11.0,22.3,Muscle Gain
Oatmeal with Berries,Lunch,279,13.9,54.5,15.3,Weight Loss
Egg White Omelette,Breakfast,454,28.8,62.2,20.1,Balanced Diet
Vegan Buddha Bowl,Breakfast,445,14.9,18.2,11.7,Balanced Diet
Chickpea Curry,Lunch,498,28.2,61.7,11.5,High Protein
Tofu Stir Fry,Snack,357,38.2,55.4,10.4,Vegan
Shrimp Tacos,Dinner,597,11.4,61.9,10.4,Balanced Diet
Stuffed Bell Peppers,Snack,508,14.4,68.1,15.5,Keto
Fruit and Nut Mix,Dinner,344,10.8,28.1,23.2,Vegan
Beef Stir Fry,Dinner,321,29.9,19.1,14.5,Keto
Chickpea Curry,Breakfast,512,21.3,15.6,6.7,High Protein
Vegan Lentil Soup,Lunch,714,20.7,18.1,29.6,Muscle Gain
Oatmeal with Berries,Snack,432,34.5,64.1,23.0,Weight Loss
Vegan Buddha Bowl,Breakfast,475,19.2,21.4,26.8,Vegan
Egg White Omelette,Lunch,737,10.5,50.9,7.0,Muscle Gain
Stuffed Bell Peppers,Breakfast,445,11.2,36.8,15.3,Vegan
Pasta Primavera,Breakfast,315,34.4,12.8,21.9,Vegan
Chickpea Curry,Lunch,689,20.1,29.7,13.7,Muscle Gain
Oatmeal with Berries,Snack,484,12.1,21.8,14.9,Vegan
Salmon and Veggies,Dinner,401,17.3,43.1,20.4,Weight Loss
Pasta Primavera,Lunch,492,29.8,60.6,19.3,High Protein
Beef Stir Fry,Breakfast,366,10.2,66.8,15.2,Vegan
Oatmeal with Berries,Snack,470,34.4,43.7,16.6,Low Carb
Stuffed Bell Peppers,Breakfast,395,20.6,15.8,23.7,Weight Loss
Quinoa Salad,Snack,385,15.7,30.8,28.2,Weight Loss
Avocado Toast,Snack,374,21.6,30.0,5.9,Keto
Fruit and Nut Mix,Lunch,308,31.4,29.1,7.6,Weight Loss
Egg White Omelette,Dinner,428,19.3,54.3,16.4,Weight Loss
Egg White Omelette,Snack,478,23.8,68.9,16.8,Balanced Diet
Quinoa Salad,Lunch,554,21.3,36.7,18.9,High Protein
Turkey Sandwich,Lunch,528,16.6,22.2,16.1,Low Carb
Chickpea Curry,Snack,347,24.7,12.7,26.1,Vegan
Tofu Stir Fry,Lunch,447,31.1,12.0,12.5,Keto
Chickpea Curry,Lunch,396,18.5,27.8,11.2,Weight Loss
Pasta Primavera,Snack,661,27.3,39.3,13.8,Balanced Diet
Shrimp Tacos,Snack,450,24.5,66.3,14.2,Balanced Diet
Pasta Primavera,Lunch,334,12.4,63.1,25.2,Keto
Grilled Chicken Salad,Snack,669,11.5,34.8,9.2,Balanced Diet
Grilled Chicken Salad,Lunch,683,21.0,50.9,29.0,Balanced Diet
Beef Stir Fry,Dinner,574,31.2,24.4,23.4,Balanced Diet
Turkey Sandwich,Snack,462,38.6,55.2,12.2,High Protein
Shrimp Tacos,Dinner,403,23.2,10.4,28.1,Balanced Diet
Oatmeal with Berries,Dinner,432,17.3,36.3,28.7,Low Carb
Oatmeal with Berries,Breakfast,421,14.3,60.4,25.1,Balanced Diet
Oatmeal with Berries,Dinner,666,21.9,50.3,28.9,Muscle Gain
Egg White Omelette,Snack,617,33.4,53.0,16.3,Muscle Gain
Beef Stir Fry,Breakfast,444,35.5,64.7,13.5,Low Carb
Pasta Primavera,Lunch,517,17.4,50.1,6.4,Vegan
Sweet Potato Bowl,Lunch,676,11.8,49.2,11.0,Low Carb
Grilled Chicken Salad,Lunch,586,30.4,54.7,28.8,Balanced Diet
Stuffed Bell Peppers,Snack,450,22.6,24.6,13.3,Balanced Diet
Fruit and Nut Mix,Dinner,405,19.2,49.3,24.8,Vegan
Fruit and Nut Mix,Breakfast,458,38.8,51.9,8.9,Vegan
Beef Stir Fry,Snack,362,37.7,65.2,23.6,Weight Loss
Avocado Toast,Snack,527,14.8,36.3,15.8,Balanced Diet
Keto Bacon Omelette,Dinner,420,11.6,10.5,25.8,Keto
Salmon and Veggies,Dinner,798,14.6,33.7,26.4,Muscle Gain
Tofu Stir Fry,Dinner,415,18.3,13.2,23.2,Weight Loss
Salmon and Veggies,Lunch,696,32.0,11.7,24.3,High Protein
Avocado Toast,Lunch,428,37.1,37.6,28.1,High Protein
Grilled Chicken Salad,Snack,437,33.7,64.8,20.8,Weight Loss
Sweet Potato Bowl,Lunch,367,30.4,33.0,13.2,Keto
Keto Bacon Omelette,Snack,443,14.4,60.5,21.8,Balanced Diet
Tofu Stir Fry,Snack,727,10.8,16.7,5.8,Muscle Gain
Salmon and Veggies,Snack,356,25.6,59.8,8.1,Weight Loss
Protein Smoothie,Dinner,419,29.8,38.9,10.1,Low Carb
Protein Smoothie,Snack,660,32.2,38.7,7.7,Balanced Diet
Tofu Stir Fry,Dinner,624,22.3,50.6,16.2,High Protein
Quinoa Salad,Breakfast,582,11.4,15.9,14.7,Balanced Diet
Chickpea Curry,Snack,656,19.5,47.6,16.2,Low Carb
Vegan Lentil Soup,Breakfast,678,23.2,15.7,25.2,Muscle Gain
Chickpea Curry,Dinner,626,33.5,64.6,16.4,High Protein
Fruit and Nut Mix,Dinner,694,23.7,28.7,9.2,Balanced Diet
Turkey Sandwich,Snack,465,16.3,30.5,8.2,Low Carb
Stuffed Bell Peppers,Dinner,699,38.9,40.5,26.1,Muscle Gain
Vegan Buddha Bowl,Snack,521,29.1,43.0,19.1,Vegan
Egg White Omelette,Lunch,428,33.1,56.6,9.9,Keto
Grilled Chicken Salad,Dinner,569,25.5,67.7,19.9,Keto
Vegan Lentil Soup,Breakfast,451,13.8,38.3,8.1,Balanced Diet
Chickpea Curry,Snack,505,20.3,14.6,29.5,Keto
Quinoa Salad,Dinner,321,27.9,51.3,21.7,Weight Loss
Beef Stir Fry,Lunch,762,31.6,19.7,19.1,Muscle Gain
Tofu Stir Fry,Snack,536,31.6,63.0,19.5,Low Carb
Shrimp Tacos,Lunch,694,30.7,17.5,17.9,Muscle Gain
Chickpea Curry,Breakfast,443,10.4,46.0,8.4,Balanced Diet
Grilled Chicken Salad,Breakfast,751,31.4,53.9,18.6,Muscle Gain
Shrimp Tacos,Dinner,446,31.6,29.1,17.3,Low Carb
Oatmeal with Berries,Lunch,507,22.9,56.1,20.0,Low Carb
Beef Stir Fry,Dinner,644,25.8,21.3,17.6,Balanced Diet
Keto Bacon Omelette,Breakfast,605,35.1,15.1,19.4,Low Carb
Quinoa Salad,Snack,680,26.0,31.7,18.5,Low Carb
Fruit and Nut Mix,Lunch,571,32.6,30.4,15.2,Keto
Salmon and Veggies,Dinner,445,28.5,47.7,17.1,Balanced Diet
Protein Smoothie,Breakfast,313,13.7,32.9,7.8,Weight Loss
Oatmeal with Berries,Breakfast,274,14.6,25.4,15.3,Weight Loss
Beef Stir Fry,Dinner,325,14.8,61.0,6.3,Vegan
Egg White Omelette,Dinner,625,24.9,65.4,26.4,Muscle Gain
Keto Bacon Omelette,Lunch,673,12.6,60.1,25.5,Muscle Gain
Beef Stir Fry,Snack,281,29.9,47.1,8.1,Weight Loss
Grilled Chicken Salad,Breakfast,572,13.4,50.9,15.1,Low Carb
Turkey Sandwich,Dinner,406,14.2,68.4,13.9,Vegan
Sweet Potato Bowl,Lunch,645,24.4,52.0,12.9,Low Carb
Grilled Chicken Salad,Dinner,489,16.7,60.7,23.1,Vegan
Grilled Chicken Salad,Snack,344,27.4,26.9,19.0,Weight Loss
Avocado Toast,Snack,665,18.1,53.1,23.8,Low Carb
Avocado Toast,Snack,665,37.5,68.8,29.8,High Protein
Tofu Stir Fry,Snack,489,30.1,34.1,16.5,Low Carb
Salmon and Veggies,Dinner,500,38.3,58.6,29.9,Low Carb
Vegan Buddha Bowl,Breakfast,346,10.2,64.5,12.2,Weight Loss
Quinoa Salad,Snack,320,38.9,25.8,6.7,Vegan
Tofu Stir Fry,Lunch,435,33.2,35.1,6.0,Vegan
Keto Bacon Omelette,Snack,534,18.1,66.0,9.3,Keto
Vegan Buddha Bowl,Snack,531,21.1,38.7,8.9,Keto
